Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43708708,White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,"DiAngelo, Robin","Michael Eric Dyson, Manon Smits, Rob Kuitenbrouwer, Amy Landon","=""0807071161""","=""9780807071168""",4,4.16,Beacon Press,Audiobook,7,2018,2018,,2021/06/23,,,read,,,,1,0
6792458,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"Alexander, Michelle",,"=""""","=""""",5,4.52,The New Press Inc.,Hardcover,290,2010,2010,,2021/06/23,,,read,,,,1,0
40265832,How to Be an Antiracist,Ibram X. Kendi,"Kendi, Ibram X.",,"=""0525509283""","=""9780525509288""",0,4.36,One World,Hardcover,305,2019,2019,,2021/06/23,,,read,,,,1,0
52220686,"Stamped: Racism, Antiracism, and You",Jason Reynolds,"Reynolds, Jason",Ibram X. Kendi,"=""0316453692""","=""9780316453691""",4,4.47,"Little, Brown Books for Young Readers",Hardcover,294,2020,2020,,2021/06/23,,,read,,,,1,0
17143,Go Tell It on the Mountain,James Baldwin,"Baldwin, James",,"=""0141185910""","=""9780141185910""",0,4.05,Penguin,Paperback,256,2001,1953,,2021/06/23,,,read,,,,1,0
39939208,Good and Mad: The Revolutionary Power of Women's Anger,Rebecca Traister,"Traister, Rebecca",,"=""1501181807""","=""9781501181801""",5,4.37,Simon & Schuster,Kindle Edition,320,2018,2018,,2021/06/23,,,read,,,,1,0
25814394,All the Single Ladies,Rebecca Traister,"Traister, Rebecca",,"=""1476716560""","=""9781476716565""",4,4.00,Simon & Schuster,Hardcover,339,2016,2016,,2021/06/23,,,read,,,,1,0
26074156,Hunger: A Memoir of (My) Body,Roxane Gay,"Gay, Roxane",,"=""0062362593""","=""9780062362599""",5,4.17,HarperCollins,Hardcover,306,2017,2017,,2021/06/23,,,read,,,,1,0
27170141,You'll Grow Out of It,Jessi Klein,"Klein, Jessi",,"=""1455531189""","=""9781455531189""",5,3.80,Grand Central Publishing,Hardcover,291,2016,2016,,2021/06/23,,,read,"I read this as a new mom deep in PPD and really needed some joy. So funny, so relatable! Reading this book feels like hanging out with your best friend. I appreciate the new language in naming my lifelong condition- TomMan. The author is the voice of Jessi on Big Mouth, wrote for Inside Amy Schumer, and the audiobook is like hours of killer stand up. Can’t wait to read her next book!",,,1,0
42583943,Signs: The Secret Language of the Universe,Laura Lynne Jackson,"Jackson, Laura Lynne",,"=""0399591591""","=""9780399591594""",5,4.16,The Dial Press,Hardcover,288,2019,2019,,2021/06/23,,,read,,,,1,0
25430672,"The Light Between Us: Stories From Heaven, Lessons for the Living",Laura Lynne Jackson,"Jackson, Laura Lynne",,"=""0812998383""","=""9780812998382""",5,4.38,Spiegel & Grau,Hardcover,288,2015,2015,,2021/06/23,,,read,,,,1,0
38215,Lovingkindness: The Revolutionary Art of Happiness (Shambhala Library),Sharon Salzberg,"Salzberg, Sharon",Jon Kabat-Zinn,"=""1590301870""","=""9781590301876""",5,4.21,Shambhala,Hardcover,256,2004,1995,,2021/06/23,,,read,,,,1,0
18243877,Love Your Enemies: How to Break the Anger Habit & Be a Whole Lot Happier,Sharon Salzberg,"Salzberg, Sharon",Robert A.F. Thurman,"=""""","=""""",0,3.96,Hay House,Hardcover,172,2013,2013,,2021/06/23,to-read,to-read (#1),to-read,,,,0,0
18961495,You Are a Badass®: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,"Sincero, Jen",,"=""0762448318""","=""9780762448319""",3,3.95,Running Press Adult,Kindle Edition,258,2013,2013,,2020/02/10,,,read,,,,1,0
12970552,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",2,4.12,Dutton Books,Kindle Edition,322,2012,2012,,2020/02/10,,,read,,,,1,0
13056159,The Chaperone,Laura Moriarty,"Moriarty, Laura",,"=""1594487014""","=""9781594487019""",4,3.88,Riverhead Books,Hardcover,367,2012,2012,,2021/06/23,,,read,,,,1,0
32738672,Unfu*k Yourself: Get Out of Your Head and Into Your Life,Gary John Bishop,"Bishop, Gary John",,"=""""","=""""",5,3.83,,Kindle Edition,221,2016,2016,,2021/06/23,,,read,,,,1,0
38210,The Art of Happiness,Dalai Lama XIV,"XIV, Dalai Lama",Howard C. Cutler,"=""1573221112""","=""9781573221115""",5,4.17,Riverhead Hardcover,Hardcover,322,1998,1998,,2021/06/23,,,read,,,,1,0
711153,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,"Gilbert, Elizabeth",,"=""0143058525""","=""9780143058526""",3,3.64,Penguin Audio,Audio CD,13,2006,2006,,2021/06/23,,,read,,,,1,0
46170,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",4,3.99,Scribner,Paperback,471,1995,1940,,2021/06/23,,,read,,,,1,0
259029,Black Hawk Down: A Story of Modern War,Mark Bowden,"Bowden, Mark",,"=""0140288503""","=""9780140288506""",5,4.30,Penguin Books,Paperback,400,2000,1999,,2021/06/23,,,read,,,,1,0
833986,Dress Your Family in Corduroy and Denim,David Sedaris,"Sedaris, David",,"=""1586215027""","=""9781586215026""",5,4.11,Grand Central Publishing,Audio CD,7,2004,2004,,2021/06/23,,,read,,,,1,0
1460735,"Too Good to Leave, Too Bad to Stay: A Step-by- Step Guide to Help You Decide Whether Stay or Get out Your Relationship",Mira Kirshenbaum,"Kirshenbaum, Mira",,"=""0525940693""","=""9780525940692""",5,4.18,Dutton Adult,Hardcover,288,1996,1996,,2021/06/23,,,read,,,,1,0
1044355,When You Are Engulfed in Flames,David Sedaris,"Sedaris, David",,"=""0316143472""","=""9780316143479""",5,4.08,Little Brown and Company,Hardcover,323,2008,2008,,2021/06/23,,,read,,,,1,0
151724,The Average American Male,Chad Kultgen,"Kultgen, Chad",,"=""0061231673""","=""9780061231674""",2,3.42,Harper Perennial,Paperback,246,2007,2007,,2021/06/23,,,read,,,,1,0
23602569,We Should All Be Feminists,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""110191176X""","=""9781101911761""",3,4.39,Anchor Books,Paperback,52,2015,2012,,2021/06/23,,,read,,,,1,0
38462,Giovanni’s Room,James Baldwin,"Baldwin, James",,"=""""","=""""",5,4.34,Penguin,Paperback,159,2000,1956,,2021/06/23,,,read,,,,1,0
7656155,Unbought and Unbossed,Shirley Chisholm,"Chisholm, Shirley","Donna Brazile, Shola Lynch, Scott Simpson","=""098005902X""","=""9780980059021""",5,4.45,Take Root Media,Paperback,177,2010,1970,,2021/06/23,,,read,,,,1,0
52613024,On Writing: A Memoir of the Craft,Stephen        King,"King, Stephen",,"=""1982159375""","=""9781982159375""",5,4.34,Scribner,Paperback,320,2020,2000,,2021/06/23,,,read,,,,1,0
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""""","=""""",5,4.40,Spiegel & Grau,Hardcover,152,2015,2015,,2021/06/23,,,read,,,,1,0
48808666,Begin with Yes: 10th Anniversary Edition,Paul Boynton,"Boynton, Paul",,"=""0998171832""","=""9780998171838""",4,4.23,Toby Dog Media,Paperback,130,2019,,,2021/06/23,,,read,,,,1,0
33609021,Chakra Healing: A Beginner's Guide to Self-Healing Techniques that Balance the Chakras,Margarita Alcantara,"Alcantara, Margarita",,"=""1623158281""","=""9781623158286""",3,3.95,Callisto,Paperback,190,2017,2017,,2021/06/23,,,read,,,,1,0
58231263,It was Never About the Food: Stories of Recovery from Eating Disorders,Tony Paulson,"Paulson, Tony","Eve Snyder, Mark Gibson","=""1532089554""","=""9781532089558""",5,4.14,iUniverse,Paperback,154,2021,,,2021/06/23,,,read,,,,1,0
54482639,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""""","=""""",5,4.12,Riverhead Books,Hardcover,343,2020,2020,,2021/06/23,,,read,,,,1,0
17452671,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,"Sandberg, Sheryl",,"=""""","=""""",5,3.95,Knopf,ebook,240,2013,,,2019/12/20,,,read,,,,1,0
13367541,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,"=""0307957659""","=""9780307957658""",5,4.07,Alfred A. Knopf: Borzoi Books,Kindle Edition,318,2012,2012,,2019/12/20,,,read,,,,1,0
40203647,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""""","=""""",5,4.37,Harper,Kindle Edition,413,2019,2019,,2019/12/20,,,read,,,,1,0
