Title,Authors,Description,First Day On List,Highest Rank,Weeks On List
FURIOUS HOURS,Casey Cep,Harper Lee’s work on the true-crime story about a rural preacher accused of murdering five of his family members in the 1970s.,2019-05-26,6,4
FURIOUSLY HAPPY,Jenny Lawson,A humorous treatment of the author's life with depression and anxiety disorder.,2015-10-11,3,7
FUTURE CRIMES,Marc Goodman,"The world of cybercrime and corporate spying, and advice on protecting yourself.",2015-03-15,3,2
GATEWAY TO FREEDOM,Eric Foner,"A history of the Underground Railroad, the network that spirited slaves to freedom in the decades before the Civil War.",2015-02-08,11,2
GHETTOSIDE,Jill Leovy,The investigation of a young black man’s murder in 2007 raises questions about race and the criminal justice system.,2015-02-15,6,4
GIRL IN A BAND,Kim Gordon,A memoir by a founding member of Sonic Youth.,2015-03-15,2,4
GIRLS AND SEX,Peggy Orenstein,Interviews with more than 70 teenagers shed light on their experience of sexuality.,2016-04-17,4,3
GOD SAVE TEXAS,Lawrence Wright,"An exploration of the history, politics and economics of the Lone Star State.",2018-05-06,8,2
GOD'S BANKERS,Gerald Posner,"The Catholic Church and money, from the sale of indulgences in the Middle Ages to the papacy’s dealings with the Nazis to the Vatican Bank scandal.",2015-02-22,13,2
"GOD, FAITH, AND REASON",Michael Savage,The conservative radio host shares moments when he has experienced glimpses of the divine.,2017-12-03,11,1
"GOD, GUNS, GRITS AND GRAVY",Mike Huckabee,The former Arkansas governor offers his take on our fractious American culture.,2015-02-08,3,4
GODS OF THE UPPER AIR,Charles King,How Franz Boas and his cohort of anthropologists upended fixed racial categorizations a century ago.,2019-09-08,14,1
GOING OFF SCRIPT,Giuliana Rancic,"A memoir by the"" E News!"" host and reality TV star.",2015-04-26,17,0
GOLD DUST WOMAN,Stephen Davis,A biography of the Fleetwood Mac singer Stevie Nicks.,2017-12-10,14,1
GOOD AND MAD,Rebecca Traister,The history and cultural significance of women's anger.,2018-10-21,5,2
GOOD VIBRATIONS,Mike Love,"The rise and fall of the Beach Boys, by one of the band's original members.		1",2016-10-02,15,1
GOVERNMENT ZERO,Michael Savage,"The radio host warns Americans against Islamists and ""this most evil administration,"" which, he says, aims to impose absolute rule and destroy our civilization.",2015-11-15,3,3
GRANT,Ron Chernow,A biography of the Union general of the Civil War and two-term president of the United States.,2017-10-29,1,18
GRATEFUL AMERICAN,Gary Sinise with Marcus Brotherton,The Oscar-nominated actor describes how he has entertained troops and helped veterans.,2019-03-03,3,6
GRATITUDE,Oliver Sacks,"Four essays, written between 2013 and 2015, about living a good life and facing mortality, by the neurologist and author, who died in August 2015.",2015-12-13,11,9
GUANTÁNAMO DIARY,"Mohamedou Ould Slahi, edited by Larry Siems",An account of the ordeal of a Mauritanian held captive since shortly after 9/11.,2015-02-08,14,2
GUILTY AS SIN,Edward Klein,An attack on Hillary Clinton focused on her use of a private email server and the activities of the Clinton Foundation.,2016-10-23,13,1
GUILTY BY REASON OF INSANITY,David Limbaugh,The conservative commentator contends that liberals have declared a political war against the current president.,2019-11-17,13,1
GUMPTION,Nick Offerman,"The actor, formerly a star in “Parks and Recreation,” takes a humorous look at what makes great Americans great.",2015-06-14,6,4
H IS FOR HAWK,Helen Macdonald,"Overwhelmed by her father’s death, a British woman decides to raise a goshawk, a bird that is fierce and notoriously difficult to tame.",2015-03-08,4,17
HACKS,Donna Brazile,An account of the Russian hacking of the Democratic National Committee and the fights within the party during the 2016 campaign.,2017-11-26,5,3
HAIL TO THE CHIN,Bruce Campbell with Craig Sanborn,"The self-described B-movie actor evaluates his quality of life, moves to Oregon and enjoys further adventures.",2017-09-03,8,2
HALLELUJAH ANYWAY,Anne Lamott,The importance of mercy in our lives.,2017-04-23,2,6
HAMILTON: THE REVOLUTION,Lin-Manuel Miranda and Jeremy McCarter,"The libretto of the award-winning musical, with backstage photos, a production history and interviews with the cast.",2016-05-01,1,42
HAPPILY ALI AFTER,Ali Wentworth,"As she approaches 50, the actress and comedian embarks on a (humorous) quest for self-improvement.",2015-06-28,13,1
HAPPINESS IS A CHOICE YOU MAKE,John Leland,Wisdom and stories from six New Yorkers age 85 and older that challenge notions of aging.,2018-02-11,11,1
HEART BERRIES,Terese Marie Mailhot,A woman comes of age and reckons with intergenerational trauma on the Seabird Island Indian Reservation.,2018-04-01,14,1
HERETIC,Ayaan Hirsi Ali,The author of “Infidel” and “Nomad” argues that fundamental doctrines of Islam must change for it to be compatible with democracy.,2015-04-12,8,3
HERO OF THE EMPIRE,Candice Millard,"The young Winston Churchill’s adventures in Africa during the Boer War, including an escape from captivity in 1899.",2016-10-09,5,6
HIDDEN FIGURES,Margot Lee Shetterly,The black women mathematicians who worked at then-segregated NASA. The basis of the movie.,2016-09-25,7,9
HIGH SCHOOL,Sara Quin and Tegan Quin,"The musicians and identical twins from Calgary, Alberta share stories about the difficulties and pressures they faced while growing up.",2019-10-13,15,1
HILLARY'S AMERICA,Dinesh D'Souza,The conservative author and pundit warns of disaster if Hillary Clinton is elected president.,2016-08-07,1,6
HILLBILLY ELEGY,JD Vance,The Yale Law School graduate and 2024 Republican vice presidential nominee looks at the struggles of the white working class through the story of his own childhood.,2016-08-14,1,74
HINDSIGHT,Justin Timberlake,A memoir by the actor and Grammy Award-winning singer and songwriter.,2018-11-18,2,5
HITLER: ASCENT 1889-1939,Volker Ullrich,A new biography focuses on Hitler the man.,2016-10-16,17,0
HOLD STILL,Sally Mann,"The photographer’s thoughts on art, photography, family and the South.",2015-05-31,9,2
HOME WORK,Julie Andrews and Emma Walton Hamilton,"The musical theater icon's second installment of her memoir describes her arrival in Hollywood, becoming a mother and her relationship with Blake Edwards.",2019-11-03,5,4
HOPE,Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan,"Two of the women abducted, raped and abused by a Cleveland school bus driver until they escaped after 10 years tell their story. 
",2015-05-17,1,4
"HOUSE OF TRUMP, HOUSE OF PUTIN",Craig Unger,"An investigation into the relationship between the current heads of Russia and the United States, and their potential ties to the Russian Mafia.",2018-09-02,4,4
HOW DEMOCRACIES DIE,Steven Levitsky and Daniel Ziblatt,The decline of democracies in Europe and Latin America and ways to avoid authoritarianism.,2018-02-04,7,5
HOW NOT TO GET SHOT,D.L. Hughley and Doug Moe,A satirical distillation of advice white people have given black people to survive everyday activities.,2018-07-29,15,1
HOW TO,Randall Munroe,The former NASA roboticist dispenses complex and excessive solutions to common problems.,2019-09-29,7,2
HOW TO BE AN ANTIRACIST,Ibram X. Kendi,A primer for creating a more just and equitable society through identifying and opposing racism.,2019-09-01,2,6
HOWARD STERN COMES AGAIN,Howard Stern,The radio interviewer delves into some of his favorite on-air conversations from the past four decades of his career.,2019-06-02,1,10
HUE 1968,Mark Bowden,An account of the Tet offensive battle that was a turning point in the American war in Vietnam.,2017-06-25,9,8
HUMANS OF NEW YORK,Brandon Stanton,"Four hundred color photos of New Yorkers, with brief commentary by the author.",2015-01-04,5,32
HUMANS OF NEW YORK: STORIES,Brandon Stanton,Photographs and interviews from the creator of the blog and the book “Humans of New York.”,2015-11-01,1,14
HUNGER,Roxane Gay,The fiction writer and essayist’s memoir about life as a “woman of size.”,2017-07-02,8,5
HUNGER MAKES ME A MODERN GIRL,Carrie Brownstein,The guitarist of the riot girrl band Sleater-Kinney (and co-star of “Portlandia”) describes finding a life in music.,2015-11-15,11,2
HURRICANES,Rick Ross with Neil Martinez-Belkin,"The Grammy-nominated rapper recounts health scares, the controversy of his time as a correctional officer and his rise in the music industry.",2019-09-22,11,1
I AM BRIAN WILSON,Brian Wilson and Ben Greenman,"A memoir by the Beach Boys co-founder describes his upbringing by an abusive father, his long struggle with mental illness and the production of the Beach Boys’ music.",2016-10-30,12,1
I AM MALALA,Malala Yousafzai with Christina Lamb,"The experience of the young Pakistani advocate for women’s education who was shot by the Taliban and won the Nobel Peace Prize.
",2015-01-04,9,50
I CAN'T MAKE THIS UP,Kevin Hart with Neil Strauss,The comedian’s personal and professional life.,2017-06-25,1,10
I MIGHT REGRET THIS,Abbi Jacobson,A collection of anecdotes and reflections from the co-creator of “Broad City.”,2018-11-18,10,2
I'LL BE GONE IN THE DARK,Michelle McNamara,"A search for ""the Golden State Killer.""",2018-03-18,2,21
I'LL NEVER WRITE MY MEMOIRS,Grace Jones as told to Paul Morley,"The life of the singer, model and actress, once a Studio 54 disco queen.",2015-10-18,9,1
"IF I UNDERSTOOD YOU, WOULD I HAVE THIS LOOK ON MY FACE?",Alan Alda,The actor’s efforts to help people learn to communicate more effectively.,2017-06-25,8,1
IF YOU CAN KEEP IT,Eric Metaxas,Americans are urged to reconnect with the ideal of liberty.,2016-07-17,16,1
IM,Isaac Mizrahi,The designer and witty television personality describes some of his lifelong struggles.,2019-03-17,12,1
IN A DIFFERENT KEY,John Donvan and Caren Zucker,The story of autism.,2016-02-14,20,0
IN DEFENSE OF A LIBERAL EDUCATION,Fareed Zakaria,A case for the centrality of the curriculum in the sciences and humanities.,2015-04-19,6,2
IN OTHER WORDS,Jhumpa Lahiri,"The Pulitzer Prize-winning novelist describes learning to write in another language, Italian.",2016-02-28,8,3
IN PIECES,Sally Field,A memoir by the two-time Academy Award and three-time Emmy Award winner.,2018-10-07,2,8
IN SUCH GOOD COMPANY,Carol Burnett,"Burnett looks back on “The Carol Burnett Show” (1967-78), describing sketches and favorite guests  as well as directors, musicians and members of the crew.",2016-10-02,8,3
IN THE HURRICANE'S EYE,Nathaniel Philbrick,Important battles that led to the end of the American Revolution.,2018-11-04,10,1
IN THE KINGDOM OF ICE,Hampton Sides,An 1879 polar voyage gone terribly wrong.,2015-01-04,19,0
IN THE SHADOW OF STATUES,Mitch Landrieu,A memoir by the mayor who called for the removal of four Confederate monuments in New Orleans.,2018-04-08,10,1
IN THIS TOGETHER,Ann Romney,A memoir by the wife of the 2012 Republican presidential candidate discusses her faith and family.,2015-10-18,7,2
IN TRUMP WE TRUST,Ann Coulter,The political commentator argues that conservatives (as well as moderates and even Democrats) should vote for Donald Trump.,2016-09-18,17,0
INDIANAPOLIS,Lynn Vincent and Sara Vladic,"A newly researched look into the sinking of the U.S.S. Indianapolis, the story of the survivors and the fight to exonerate the court-martialed skipper.",2018-07-29,4,7
INHERITANCE,Dani Shapiro,Secrets and identity in a fast-paced age of science and technology are explored through the story of a woman who discovered her biological father.,2019-02-03,11,3
INSANE CLOWN PRESIDENT,Matt Taibbi,Dispatches from the 2016 campaign.,2017-02-12,15,1
INSIDE OUT,Demi Moore,"The Hollywood star chronicles the rocky relationships, body image issues and public perceptions that affected her attempts to balance family and fame.",2019-10-13,1,4
INVISIBLE INFLUENCE,Jonah Berger,A marketing professor at the University of Pennsylvania’s Wharton School explores the complexities of social influence.,2016-07-03,11,1
IT WAS ME ALL ALONG,Andie Mitchell,"A memoir about the author’s long struggle with, and eventual victory over, obesity.",2015-01-25,9,3
IT'S A LONG STORY,Willie Nelson with David Ritz,"The country music star discusses his life’s journey, from selling encyclopedias to professional fame.",2015-05-24,5,9
IT'S EVEN WORSE THAN YOU THINK,David Cay Johnston,The Pulitzer Prize-winning journalist describes how he believes the scope of the Trump presidency differs from all the others.,2018-02-04,2,3
IT'S WHAT I DO,Lynsey Addario,A photojournalist who shared a Pulitzer for her work describes her experience covering wars.,2015-03-01,11,3
JACKIE'S GIRL,Kathy McKeon,Recollections from Jackie Kennedy’s longtime assistant.,2017-05-28,9,1
"JACKIE, JANET & LEE",J. Randy Taraborrelli,"A biography of Jacqueline Kennedy Onassis; her mother, Janet Lee Auchincloss; and her sister Lee Radziwill.",2018-02-18,15,1
JACKSONLAND,Steve Inskeep,"President Andrew Jackson, Cherokee Chief John Ross and the great American land grab.",2015-06-07,20,0
JAY-Z: MADE IN AMERICA,Michael Eric Dyson,An appreciation of the rapper’s career over the last three decades.,2019-12-15,13,1
JESUS IS RISEN,David Limbaugh,The conservative commentator explores the birth and spread of Christianity.,2018-10-28,15,1
JUSTICE ON TRIAL,Mollie Hemingway and Carrie Severino,The conservative authors give their take on the confirmation of Supreme Court Justice Brett Kavanaugh.,2019-07-28,6,5
KILLERS OF THE FLOWER MOON,David Grann,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",2017-05-07,4,40
KILLING ENGLAND,Bill O'Reilly and Martin Dugard,Major events and battles during the Revolutionary War are told from several perspectives.,2017-10-08,1,16
KILLING JESUS,Bill O'Reilly and Martin Dugard,"The host of ""The O'Reilly Factor"" recounts the events leading up to Jesus’ execution.",2015-01-18,13,41
KILLING LINCOLN,Bill O'Reilly and Martin Dugard,The television host recounts the events surrounding the assassination of Abraham Lincoln.,2015-01-18,18,0
KILLING PATTON,Bill O'Reilly and Martin Dugard,The host of “The O’Reilly Factor” recounts the strange death of Gen. George S. Patton in December 1945.,2015-01-04,1,30
KILLING REAGAN,Bill O'Reilly and Martin Dugard,"The host of “The O’Reilly Factor” recounts the events surrounding the attempted assassination of President Reagan in 1981.
",2015-10-11,1,22
KILLING THE DEEP STATE,Jerome R. Corsi,"The conservative commentator describes a secret conspiracy to undermine the Trump presidency. From the author of ""The Obama Nation.""",2018-04-22,13,3
KILLING THE MESSENGER,David Brock,A former right-wing operative describes his transformation and passionately defends Hillary Clinton,2015-10-04,5,2
KILLING THE RISING SUN,Bill O'Reilly and Martin Dugard,The host of “The O’Reilly Factor” recounts the final years of World War II.,2016-10-02,1,32
KILLING THE SS,Bill O'Reilly and Martin Dugard,A look at the postwar manhunt for members of Hitler’s inner circle.,2018-10-28,1,16
KNOW MY NAME,Chanel Miller,A sexual assault victim reclaims her identity and challenges our culture and criminal justice system as they relate to this issue.,2019-10-13,5,3
"KUSHNER, INC.",Vicky Ward,The HuffPost editor at large gives her perspective on Jared Kushner and Ivanka Trump’s agenda inside the White House.,2019-04-07,5,2
LADIES WHO PUNCH,Ramin Setoodeh,A behind-the-scenes look at the daytime talk show “The View.”,2019-04-21,7,2
LAFAYETTE IN THE SOMEWHAT UNITED STATES,Sarah Vowell,A look at the American Revolution through the lens of the Marquis de Lafayette,2015-11-08,15,1
LAKE OF THE OZARKS,Bill Geist,Coming-of-age anecdotes set in a 1960s Midwestern summer vacation destination.,2019-05-26,8,2
LEAVING BEFORE THE RAINS COME,Alexandra Fuller,"A memoir of a marriage’s collapse, by the author of “Don’t Let’s Go to the Dogs Tonight” and ""Cocktail Hour Under the Tree of Forgetfulness.""",2015-02-08,5,6
LEONARD,William Shatner with David Fisher,A memoir of the complicated 50-year friendship between the leading actors of “Star Trek.”,2016-03-06,11,2
LESSONS,Gisele Bündchen,A memoir by the international supermodel detailing her childhood in southern Brazil and her career as a fashion icon.,2018-10-21,9,1
LESSONS FROM LUCY,Dave Barry,The humorist tries to emulate his dog’s grace in contending with old age.,2019-05-05,9,1
LET LOVE HAVE THE LAST WORD,Common with Mensah Demary,"Personal stories from the actor and Oscar, Golden Globe, Emmy and Grammy Award-winning music artist.",2019-05-26,12,2
LET ME FINISH,Chris Christie with Ellis Henican,The former governor of New Jersey describes his relationship with President Trump and the tensions among others close to the president.,2019-02-17,5,3
LET ME TELL YOU ABOUT JASPER ...,Dana Perino,"Reflections on dogs — especially her Vizsla, Jasper — and politics, by the co-host of Fox News’s “The Five,” a former press secretary to President George W. Bush.",2016-11-13,10,1
LET TRUMP BE TRUMP,Corey R. Lewandowski and David N. Bossie,Insider accounts of the Republican presidential campaign and its outcome by two of its advisers.,2017-12-24,5,6
LET'S GO (SO WE CAN GET BACK),Jeff Tweedy,The founding member of the rock band Wilco discusses his life and artistic process.,2018-12-02,6,1
LETTERS FROM AN ASTROPHYSICIST,Neil deGrasse Tyson,"In a hand-picked collection of 101 letters, the celebrity astrophysicist answers a vast array of questions from science to faith and Pluto.",2019-10-27,10,2
LETTERS TO MY PALESTINIAN NEIGHBOR,Yossi Klein Halevi,The Israeli commentator addresses some ideological and emotional components of the Israeli-Palestinian conflict.,2018-06-03,14,1
LIARS,Glenn Beck,The author says progressive politicians gain power and control by exploiting Americans' fears.,2016-08-21,2,4
"LIARS, LEAKERS AND LIBERALS",Jeanine Pirro,The legal analyst and Fox News host argues in favor of President Trump.,2018-08-05,1,13
LIFE IS SHORT (NO PUN INTENDED),Jennifer Arnold and Bill Klein,"The stars of TLC's ""The Little Couple"" discuss their lives and their relationship.",2015-06-14,15,2
LIFE WILL BE THE DEATH OF ME,Chelsea Handler,The comedian chronicles going into therapy and becoming an advocate for change.,2019-04-28,1,7
LIFESPAN,David A. Sinclair and Matthew D. LaPlante,A professor of genetics at Harvard Medical School expounds on some new technologies and lifestyle changes that may affect aging.,2019-09-29,11,2
LIGHTS OUT,Ted Koppel,"The journalist describes how a cyberattack on the nation’s power grids could paralyze our infrastructure, warns that government has not planned for the possibility, and visits “preppers” who are taking their own precautions.",2015-11-15,8,6
LINCOLN'S LAST TRIAL,Dan Abrams and David Fisher,The 1859 courtroom battle in which Abraham Lincoln defended the murderer of his protégé.,2018-06-24,7,5
LITTLE WEIRDS,Jenny Slate,A collection of comedic and revealing essays.,2019-11-24,12,1
LIVE RIGHT AND FIND HAPPINESS (ALTHOUGH BEER IS MUCH FASTER),Dave Barry,Humorous essays on topics ranging from the World Cup in Brazil to home improvement and including Barry’s letters to his teenage daughter and his newborn grandson.,2015-03-22,12,2
LOST CONNECTIONS,Johann Hari,"The journalist describes nine causes of depression and anxiety, and offers potential solutions.",2018-03-04,12,1
LOVE THAT BOY,Ron Fournier,"A journalist learns to be a good father to his son, who has high-functioning autism.",2016-05-08,10,1
LOVE WARRIOR,Glennon Doyle Melton,"After her husband confesses to multiple infidelities, a woman who has overcome bulimia and alcoholism struggles to grow — and so does he.",2016-09-25,1,10
"LOVE, LOSS, AND WHAT WE ATE",Padma Lakshmi,"The cookbook writer and host of “Top Chef” traces her life’s journey, beginning in South India.",2016-03-27,11,2
LUCKY LIFE INTERRUPTED,Tom Brokaw,The journalist describes the year following his diagnosis with multiple myeloma.,2015-05-31,4,6
LUST AND WONDER,Augusten Burroughs,"Burroughs's post-rehab love life in 1990s New York City, and its eventual happy ending.",2016-04-17,2,2
M TRAIN,Patti Smith,"A meditation on art, loss and the past by the singer-songwriter, the author of the National Book Award-winning “Just Kids.”",2015-10-25,3,7
MADAME FOURCADE'S SECRET WAR,Lynne Olson,A 31-year-old French mother led an intelligence organization that worked against Hitler and the Gestapo.,2019-03-24,13,3
MAKE TROUBLE,Cecile Richards with Lauren Peterson,"A memoir by the president of Planned Parenthood Federation of America and Planned Parenthood Action Fund, and former labor organizer.",2018-04-22,4,3
MARTIN LUTHER,Eric Metaxas,A biography of the monk whose writings sparked the Protestant Reformation.,2017-10-22,7,3
MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,2019-04-21,5,16
ME,Elton John,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles.",2019-11-03,1,9
MIRACLES,Eric Metaxas,An argument that miracles are not only possible but widespread.,2015-01-18,12,2
MISADVENTURES OF AWKWARD BLACK GIRL,Issa Rae,Humorous essays on what it is like to be awkward in a world that glorifies cool.,2015-03-01,19,0
MISSOULA,Jon Krakauer,"The author of “Into the Wild” discusses cases of acquaintance rape in Missoula, Mont., home of the University of Montana.",2015-05-10,4,4
MOBITUARIES,Mo Rocca and Jonathan Greenberg,The humorist spotlights frequently unnoticed aspects of deceased celebrities and historical figures.,2019-11-24,13,1
MODERN ROMANCE,Aziz Ansari with Eric Klinenberg,The comedian enlists a sociologist to help him understand today’s dating scene.,2015-07-05,2,25
MORE THAN ENOUGH,Elaine Welteroth,"The journalist explores several themes such as race, power, identity and love.",2019-06-30,11,1
MOST BLESSED OF THE PATRIARCHS,Annette Gordon-Reed and Peter S. Onuf,A character study that attempts to make sense of Jefferson’s contradictions.,2016-05-01,16,1
MOSTLY SUNNY,Janice Dean,"The ""Fox & Friends"" meteorologist describes overcoming sexist bosses and health issues.",2019-03-24,11,2
MY LIFE ON THE ROAD,Gloria Steinem,A memoir by the feminist writer and activist is also a history of the movement.,2015-11-15,7,7
MY LOVE STORY,Tina Turner with Deborah Davis and Dominik Wichmann,The 12-time Grammy Award-winner describes her road to fame and reflects on difficult personal experiences.,2018-11-11,14,1
MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,A collection of articles and speeches by the Supreme Court justice.,2016-10-23,8,2
MY SOUTHERN JOURNEY,Rick Bragg,"More than a decade's worth of essays about the South, covering topics like football, fishing and food.",2015-10-11,14,1
NANAVILLE,Anna Quindlen,The Pulitzer Prize-winning columnist observes the joys of being a grandmother.,2019-05-12,9,3
NATURAL CAUSES,Barbara Ehrenreich,"A look at aging, the ways people try to control the inevitable and strategies for accepting mortality.",2018-04-29,7,1
NATURALLY TAN,Tan France,"A coming-of-age memoir by the “Queer Eye” star, with behind-the-scenes stories of the reality TV show.",2019-06-23,10,1
NEGROLAND,Margo Jefferson,A memoir by the Pulitzer Prize-winning critic explores the complications of life as a member of Chicago's black elite.,2015-09-27,20,0
NEUROTRIBES,Steve Silberman,"A science writer argues that conditions like autism are natural human variations with some adaptive elements, and surveys the history of autism and the current spike in diagnoses.",2015-09-13,8,3
NEVER BROKEN,Jewel,A memoir and guide to creative living by the singer-songwriter.,2015-10-04,16,1
NEVERTHELESS,Alec Baldwin,A memoir by the actor.,2017-04-23,5,1
NO HERO,Mark Owen with Kevin Maurer,"In a follow-up to “No Easy Day,” the Navy SEAL team member Matt Bissonnette, writing pseudonymously, describes the challenges of  SEAL training and other missions in which he participated.",2015-01-11,17,0
NO WALLS AND THE RECURRING DREAM,Ani DiFranco,A memoir by the Grammy Award-winning folk and alternative rock musician.,2019-05-26,7,1
NOT DEAD YET,Phil Collins,A memoir by the Genesis drummer/singer/songwriter.,2016-11-13,6,2
NOT THAT KIND OF GIRL,Lena Dunham,A collection of revealing and often humorous personal essays from the creator and star of “Girls.”,2015-01-04,5,25
NOTE TO SELF,Connor Franta,The internet personality discloses his struggles with depression and other issues in short essays and diarylike entries.,2017-05-07,3,2
NOTORIOUS RBG,Irin Carmon and Shana Knizhnik,A celebration of the life and career of Supreme Court Justice Ruth Bader Ginsburg.,2015-11-15,7,8
OBAMA,Pete Souza,"More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",2017-11-26,1,23
OLD AGE,Michael Kinsley,"Essays, both serious and humorous, about aging and death, based in part on Kinsley’s experience with Parkinson’s disease and aimed at his fellow baby boomers.",2016-05-15,10,2
OLD SCHOOL,Bill O'Reilly and Bruce Feirstein,"A defense of “old school” traditional values versus “snowflakes.""",2017-04-16,1,6
ON FIRE,Naomi Klein,Essays arguing in favor of climate action and social justice.,2019-10-06,13,1
ON MY OWN,Diane Rehm,"The NPR radio host describes her husband's death from Parkinson's in 2014 after 54 years of marriage, and her struggle to make a life for herself.",2016-02-21,11,1
ON THE MOVE,Oliver Sacks,"A memoir by the neurologist and writer, the author of “Awakenings” and many other books.",2015-05-17,9,3
ONCE IN A GREAT CITY,David Maraniss,"Detroit in 1963, the end of its boom and the beginning of its collapse.",2015-10-04,15,1
ONE MAN AGAINST THE WORLD,Tim Weiner,"An award-winning journalist’s chilling account of the Nixon  presidency, based in part on recently declassified material.
",2015-07-05,15,2
ONE NATION AFTER TRUMP,E. J. Dionne Jr,An analysis of the conditions created by the Trump presidency and a potentially unifying road map for the future.,2017-10-08,13,1
OPTION B,Sheryl Sandberg and Adam Grant,Insight on facing adversity and building resilience.,2017-05-14,1,22
OUR 50-STATE BORDER CRISIS,Howard Buffett,An Illinois sheriff describes the close connection he sees between national security and the opioid crisis.,2018-04-22,8,3
OUR KIDS,Robert D. Putnam,A social scientist argues that income inequality is creating an “opportunity gap” for poor children that is destroying the American dream.,2015-03-29,10,3
OUR REVOLUTION,Bernie Sanders,The Vermont senator and former candidate for the Democratic nomination for president delivers his message of social and economic justice.,2016-12-04,3,7
OUR TOWNS,James Fallows and Deborah Fallows,A couple who flew around America in a single-engine prop airplane describe how solutions for issues faced on a local level differ from national-level dysfunction.,2018-05-27,15,1
OUTSIDE THE WIRE,Jason Kander,The Army veteran and former Missouri secretary of state describes his time in public service.,2018-08-26,14,1
OVER THE TOP,Jonathan Van Ness,"How the hairstylist, comedian and ""Queer Eye"" star overcame ridicule and trauma.",2019-10-13,4,3
PARKLAND,Dave Cullen,Portraits of the teenage survivors of the mass shooting at Marjory Stoneman Douglas High School who created the #neveragain movement.,2019-03-03,14,1
PAUL MCCARTNEY,Philip Norman,"A life, by the author of ""Shout! The Beatles in Their Generation"" and ""John Lennon.""",2016-05-22,14,1
PERMANENT RECORD,Edward Snowden,A memoir by the former National Security Agency contractor who exposed the government’s mass surveillance program.,2019-10-06,2,5
PIONEER GIRL,Laura Ingalls Wilder,"The writer’s autobiography, the source of her Little House on the Prairie books, completed in 1930 and never published, is annotated by a biographer.",2015-02-15,2,7
PIRATE HUNTERS,Robert Kurson,The hunt for a 17th-century pirate ship.,2015-07-05,14,1
PLAYING TO THE EDGE,Michael V. Hayden,A former C.I.A. director defends his policies.,2016-03-13,3,5
PLAYING WITH FIRE,Lawrence O'Donnell,A recounting of the unexpected events of the 1968 presidential election.,2017-11-26,13,1
PLUNDER AND DECEIT,Mark R. Levin,"The talk-radio host urges young Americans to resist the statist masterminds who he says are burdening them with debt, inferior education and illegal immigration.",2015-08-23,1,8
PORTRAITS OF COURAGE,George W. Bush,Paintings with brief biographies of members of the military who have served since 9/11. By the former president.,2017-03-19,1,5
POWERHOUSE,James Andrew Miller,The history of the Creative Artists Agency and its role in Hollywood and popular culture over the past 50 years.,2016-08-28,12,1
PRESIDENTS OF WAR,Michael Beschloss,How American presidents waged wars and expanded the power of the executive branch.,2018-10-28,3,6
PRESTO!,Penn Jillette,"The magician's story of how he lost 100 pounds on a ""potato diet"" includes his trademark humor and social commentary.",2016-08-21,17,0
PRETTY MESS,Erika Jayne,"A memoir by a star of ""The Real Housewives of Beverly Hills.""",2018-04-15,15,1
PRIMATES OF PARK AVENUE,Wednesday Martin,"A memoir of life among the wealthy women of the Upper East Side, in the satirical guise of an anthropological study.",2015-06-21,2,6
PRINCE : A PRIVATE VIEW,Afshin Shahidi,The musician’s cinematographer shares exclusive photographs and stories.,2017-11-12,14,1
PRINCE CHARLES,Sally Bedell Smith,"A life of the heir to the British throne, by the author of biographies of Queen Elizabeth II and Diana, Princess of Wales.",2017-04-23,8,2
"PROMISE ME, DAD",Joe Biden,"The former vice president recalls his toughest year in office, as his son battled brain cancer.",2017-12-03,1,11
PROOF OF CONSPIRACY,Seth Abramson,The BBC and CNN political and legal analyst argues that Middle Eastern geopolitics were central to Donald Trump’s election and foreign policy.,2019-09-22,12,1
"RADICALS, RESISTANCE AND REVENGE",Jeanine Pirro,The Fox News host posits those she labels anti-Trump conspirators have committed possible crimes and a plot to destroy liberty.,2019-09-15,3,4
REAL FOOD/FAKE FOOD,Larry Olmsted,"The unregulated (and often counterfeit) food industry and the deceptions that extend to high-end foods like olive oil, wine, coffee, honey, juice and cheese, and how to recognize the authentic craft fare.",2016-07-31,17,0
RECKLESS,Chrissie Hynde,The Pretenders' frontwoman revisits four decades in the music industry.,2015-09-27,7,2
RECLAIMING CONVERSATION,Sherry Turkle,The cultural and societal trade offs of social technologies that create connections versus face-to-face communication.,2015-10-25,20,0
RECOVERY,Russell Brand,The actor and comedian describes his various addictions and how he was able to move away from them.,2017-10-22,6,2
RED NOTICE,Bill Browder,A successful American hedge fund manager in Russia was expelled by kleptocrats who then seized his property.,2015-02-22,6,5
RED PLATOON,Clinton Romesha,"The deadly 13-hour battle for a remote combat outpost in Afghanistan in 2009, by a soldier who received the Medal of Honor.",2016-05-22,9,4
REDISCOVERING AMERICANISM,Mark R. Levin,The radio host argues that the founding fathers would be shocked by the expansion of modern government.,2017-07-16,1,8
