Title,Authors,Description,First Day On List,Highest Rank,Weeks On List
AMERICAN PREDATOR,Maureen Callahan,"How the F.B.I. caught Israel Keyes, a serial killer who, for 14 years, attacked victims across the country and returned to his quiet life in Alaska.",2019-07-21,15,1
AMERICAN RADICAL,Tamer Elnoury with Kevin Maurer,The memoir of a Muslim-American undercover agent for the F.B.I.’s counterterrorism unit.,2017-11-12,10,1
AMERICAN WIFE,Taya Kyle with Jim DeFelice,"The widow of Chris Kyle, of “American Sniper” fame, describes her life after his death.",2015-05-24,7,5
AND THE GOOD NEWS IS ...,Dana Perino,The Fox News contributor and former press secretary under President George W. Bush reviews her life and career and shares lessons  she has learned.,2015-05-10,2,10
AND THEN ALL HELL BROKE LOOSE,Richard Engel,NBC’s chief foreign correspondent discusses the Arab Spring and war in the Middle East.,2016-02-28,7,7
ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS,Brian Kilmeade and Don Yaeger,Major General Jackson takes on the British in Louisiana.,2017-11-12,3,14
ANDY WARHOL WAS A HOARDER,Claudia Kalb,Inside the minds of history's great personalities.,2016-03-06,17,0
ANTHONY BOURDAIN REMEMBERED,CNN,A collection of photographs and remembrances by some who were impacted by the chef and television host.,2019-06-16,10,1
ARE WE SMART ENOUGH TO KNOW HOW SMART ANIMALS ARE?,Frans de Waal,A primatologist explores the intelligence of various animals.,2016-05-15,15,1
ARMAGEDDON,Dick Morris and Eileen McGann,The political strategist offers a game plan for how to defeat Hillary Clinton.,2016-08-07,3,10
AROUND THE WAY GIRL,Taraji P. Henson with Denene Millner,"The actress describes an early life of adversity, the joys of single motherhood, and the road to achievement.",2016-11-06,19,0
AS YOU WISH,Cary Elwes with Joe Layden,"The making of the movie “The Princess Bride,” 25 years ago.",2015-01-04,7,13
AT THE EXISTENTIALIST CAFE,Sarah Bakewell,"An account of the birth of one of the 20th century's major intellectual movements and the revolutionary thinkers who shaped it: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, and others.",2016-03-20,17,0
AUDACITY,Jonathan Chait,An argument for the durability of Obama's legacy.,2017-02-05,12,1
AUTUMN,Karl Ove Knausgaard,"The first in a series based on the four seasons, this book describes the minutiae and experiences of daily life for a Norwegian family.",2017-09-10,15,1
AWARE,Daniel Siegel,A look at the science that supports the effectiveness of meditation.,2018-09-16,4,1
BACHELOR NATION,Amy Kaufman,An insider look at the Bachelor franchise and its effect on society.,2018-03-25,7,2
BALL OF COLLUSION,Andrew C. McCarthy,The Fox News contributor and former federal prosecutor makes his case that the narrative of collusion between the 2016 Trump campaign and the Kremlin is a fraud.,2019-09-01,9,1
BARRACOON,Zora Neale Hurston,"A previously unpublished, first-person account of a man who was enslaved 50 years after the slave trade was banned.",2018-05-27,2,10
BASED ON A TRUE STORY,Norm Macdonald,"A memoir by a “Saturday Night Live” alumnus, a onetime ""Weekend Update"" anchor.",2016-10-09,15,1
BEASTIE BOYS BOOK,Michael Diamond and Adam Horovitz,The story of the New York band who achieved hip hop stardom.,2018-11-18,1,10
BECAUSE INTERNET,Gretchen McCulloch,The digital world’s influence on the English language.,2019-08-11,9,2
BECOMING,Michelle Obama,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",2018-12-02,1,53
BECOMING GRANDMA,Lesley Stahl,The reporter investigates how “grandmothering” transforms a woman’s life.,2016-04-24,4,6
BEING MORTAL,Atul Gawande,The surgeon and New Yorker writer considers how doctors fail patients at the end of life and how they can do better.,2015-01-04,1,84
BELIEVE ME,Eddie Izzard with Laura Zigman,A memoir by the cross-dressing British comedian.,2017-07-02,15,1
BELIEVER,David Axelrod,A memoir by the political consultant who became Barack Obama’s campaign strategist and White House adviser.,2015-03-01,2,5
BENEATH THE SURFACE,John Hargrove with Howard Chua-Eoan,A former senior orca trainer for SeaWorld exposes the dark side of the multi-billion dollar marine park tourism industry; it is a life that can be fatal for whales and trainers.,2015-04-19,18,0
BEST. STATE. EVER,Dave Barry,"Florida may be the Joke State, but Barry explains why he loves it.",2016-09-25,8,1
BETTER,Amy Robach,"The experience of a ""Good Morning America"" anchor who received a diagnosis of breast cancer.",2015-10-18,16,0
BETTYVILLE,George Hodgman,A New York  editor returns to his Missouri hometown to care for his aging mother.,2015-03-29,9,3
BETWEEN BREATHS,Elizabeth Vargas,"The co-anchor of “World News Tonight” and “20/20” describes her long struggle with acute anxiety and panic attacks, which she attempted to medicate with alcohol.",2016-10-02,7,2
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,"Winner of the 2015 National Book Award for nonfiction. A meditation on race in America as well as a personal story, framed as a letter to the author's teenage son.",2015-08-02,1,87
BETWEEN YOU & ME,Mary Norris,"A memoir of a career in the New Yorker's storied copy department, along with grammar advice.",2015-04-19,6,5
BEYOND CHARLOTTESVILLE,Terry McAuliffe,"The former governor of Virginia describes the forces and events behind the ""Unite the Right"" rally and suggests ways to prevent similar occurrences in the future.",2019-08-18,8,1
BEYOND THE MESSY TRUTH,Van Jones,A look at the failures of both major political parties and a call for bipartisan efforts to solve current problems.,2017-10-29,12,2
BIG AGENDA,David Horowitz,A battle plan for the Trump White House.,2017-02-26,5,11
BILL CUNNINGHAM: ON THE STREET,The New York Times,"A collection of five decades of photographs by the late New York Times fashion photographer, accompanied by essays from various contributors, with photography edited by Tiina Loite.",2019-09-22,15,1
BILL O'REILLY'S LEGENDS AND LIES,David Fisher,Stories of the American West; a companion volume to the Fox News series.,2015-04-26,1,13
BILL O'REILLY'S LEGENDS AND LIES: THE CIVIL WAR,David Fisher,Stories of the Civil War; a companion to the Fox historical docudrama.,2017-06-25,6,5
BILL O'REILLY'S LEGENDS AND LIES: THE PATRIOTS,David Fisher,Stories of the American Revolution; a companion volume to the Fox News series.,2016-06-12,1,11
BILLIONAIRE AT THE BARRICADES,Laura Ingraham,The conservative radio host gives historical perspective to President Donald J. Trump's agenda.,2017-10-29,8,1
BINGE,Tyler Oakley,Personal essays from the L.G.B.T.Q. YouTube personality.,2015-11-08,2,7
BLACK EARTH,Timothy Snyder,A specialist in Eastern European history offers a new interpretation of the Holocaust centering on ecological crisis and the competition over resources.,2015-09-27,13,1
BLACK MAN IN A WHITE COAT,Damon Tweedy,A doctor reflects on race and medicine.,2015-09-27,18,0
BLACK PRIVILEGE,Charlamagne Tha God,The radio personality presents his life story and offers advice for success.,2017-05-07,6,7
BLACKOUT,Sarah Hepola,A memoir of drinking and recovery.,2015-07-19,15,2
BLITZED,Norman Ohler,"An account of the Third Reich’s widespread use of drugs, particularly methamphetamines.",2017-03-26,15,1
BLOWOUT,Rachel Maddow,The MSNBC host argues that the global oil and gas industry has weakened democracies and bolstered authoritarians.,2019-10-20,1,11
BLUEPRINT,Nicholas A. Christakis,The physician and sociologist makes his case that genes affect the ways we make societies and natural selection guides us toward creating a good society.,2019-04-14,14,1
BOBBY KENNEDY,Chris Matthews,The New York senator's journey from his formative years to his tragic run for president.,2017-11-19,2,10
BOBBY KENNEDY,Larry Tye,Robert Kennedy's journey from aide to Senator Joe McCarthy to ardent liberal and antiwar presidential candidate.,2016-07-24,12,2
BORN A CRIME,Trevor Noah,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”,2016-12-04,7,31
BORN TO RUN,Bruce Springsteen,The singer-songwriter’s autobiography.,2016-10-16,1,14
BORN TRUMP,Emily Jane Fox,The Vanity Fair journalist looks at Donald Trump as a father and the personalities of his five children.,2018-07-08,11,1
BORN WITH TEETH,Kate Mulgrew,"A memoir by the actress, a star of “Orange Is the New Black.”",2015-05-03,14,2
BOYS IN THE TREES,Carly Simon,A memoir by the singer.,2015-12-13,7,6
BRAVE,Rose McGowan,The Hollywood actress details growing up in a cult and the traumas of the entertainment industry.,2018-02-18,9,1
BUFFERING,Hannah Hart,A memoir by the host of the YouTube show “My Drunk Kitchen” focuses on her challenging childhood.,2016-11-06,4,1
BUNNY MELLON,Meryl Gordon,"A biography of the style icon, art collector and American aristocrat.",2017-10-15,15,1
BUSH,Jean Edward Smith,A critical biography of the 43rd president.,2016-07-24,16,1
BUT ENOUGH ABOUT ME,Burt Reynolds and Jon Winokur,The actor recalls the people in his life.,2015-12-06,17,0
BUT WHAT IF WE'RE WRONG?,Chuck Klosterman,Imagining the contemporary world as it will appear to those for whom it will be the distant past.,2016-06-26,5,8
CALL SIGN CHAOS,Jim Mattis and Bing West,The former Marine infantry officer and secretary of defense recounts key moments from his career and imparts his leadership philosophy.,2019-09-22,1,7
CALYPSO,David Sedaris,"A collection of comedic stories on mortality, middle age and a beach house dubbed the Sea Section.",2018-06-17,1,12
CAPITAL DAMES,Cokie Roberts,"Women in Washington, D.C., during the Civil War.",2015-05-03,10,3
CAPITAL IN THE TWENTY-FIRST CENTURY,Thomas Piketty,A French economist’s analysis of centuries of economic history predicts worsening inequality and proposes solutions.,2015-01-25,19,0
CATCH AND KILL,Ronan Farrow,The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.,2019-11-03,2,5
CHANGING NORMAL,Marilu Henner and Michael Brown,"An intimate account of how the television actress from the sitcom ""Taxi"" and her husband successfully battled battled his cancer.",2016-05-15,18,0
CHARGED,Emily Bazelon,Issues created by mass incarceration and our criminal justice system are explored through the cases of two young people.,2019-04-28,9,1
CHASING HILLARY,Amy Chozick,"A New York Times journalist recounts her coverage of Hillary Clinton’s 2008 and 2016 presidential campaigns, and her own personal and professional milestones.",2018-05-13,12,1
CHASING LIGHT,Amanda Lucidon,"150 color photographs of the former first lady Michelle Obama, with commentary by a White House photographer.",2017-11-05,15,1
CHASING THE SCREAM,Johann Hari,The causes and consequences of America's century old war on drugs.,2015-02-22,17,0
CHURCHILL AND ORWELL,Thomas E. Ricks,A dual biography of two independent thinkers.,2017-06-11,10,4
CHURCHILL: WALKING WITH DESTINY,Andrew Roberts,A biography focusing on what motivated the war leader and how he learned from his mistakes.,2018-11-25,7,9
CLEAN HOUSE,Tom Fitton,"The president of Judicial Watch discusses Benghazi, Hillary Clinton’s emails and other (in the words of the subtitle) “secrets and lies” of the Obama administration.",2016-09-25,11,1
CLIMATE OF HOPE,Michael Bloomberg and Carl Pope,"The authors believe that cities, businesses and citizens can meet the challenge of climate change.",2017-05-14,14,1
CLINTON CASH,Peter Schweizer,An examination of donations made to the Clinton Foundation by foreign entities.,2015-05-24,2,5
COMING TO MY SENSES,Alice Waters with Cristina Mueller and Bob Carrau,"A memoir by the restaurateur and supporter of the organic food movement, who opened Chez Panisse in Berkeley, Calif., in 1971.",2017-09-24,13,1
COMMANDER IN CHEAT,Rick Reilly,"A sportswriter handicaps the current president’s character, based on how he plays golf.",2019-04-21,6,4
CONSCIENCE OF A CONSERVATIVE,Jeff Flake,"The Arizona senator defends traditional conservative values, says the movement has lost its way and calls for a return to principle.",2017-08-20,4,2
CONSPIRACIES OF THE RULING CLASS,Lawrence B. Lindsey,"How to take back control from what the author describes as a bloated, out-of-touch government.",2016-03-27,8,1
CONTEMPT,Ken Starr,The former independent counsel recounts his investigation of the Clinton administration and its outcomes.,2018-09-30,13,1
CONVICTION,Juan Martinez,"An Arizona prosecutor describes building the case against Jodi Arias, who was found guilty of murdering her ex-boyfriend, Travis Alexander, in 2013.",2016-03-06,8,1
CRIME IN PROGRESS,Glenn Simpson and Peter Fritsch,The founders of Fusion GPS detail their investigations of Donald Trump and the subsequent fallout.,2019-12-15,3,1
CRIPPLED AMERICA,Donald J. Trump,The real estate developer and candidate for the Republican presidential nomination shares his ideas for making America great again.,2015-11-22,5,13
CRISIS IN THE RED ZONE,Richard Preston,An account of the 2013-14 Ebola epidemic and the potential of more severe outbreaks in the future.,2019-08-11,13,1
CRISIS OF CHARACTER,Gary J. Byrne with Grant M. Schmidt,A former Secret Service officer claims to have witnessed scandalous behavior by the Clintons.,2016-07-17,1,10
DANGEROUS,Milo Yiannopoulos,The alt-right provocateur criticizes political correctness.,2017-07-23,4,5
DAPPER DAN: MADE IN HARLEM,Daniel R. Day with Mikael Awake,A memoir by the creator of 1980s high-end streetwear and owner of an eponymous boutique.,2019-07-28,13,2
DARING TO HOPE,Katie Davis Majors,"The author, who moved to Uganda and adopted 13 children, has her faith tested after facing tragedy.",2017-10-22,12,1
DARK MONEY,Jane Mayer,An account of how the Koch brothers and other super-wealthy donors deployed their money to change American politics.,2016-02-07,2,13
DATA AND GOLIATH,Bruce Schneier,A security expert offers tips for protecting your privacy and proposes an alternative to mass surveillance by government and corporations.,2015-03-22,6,2
DEAD WAKE,Erik Larson,"The last voyage of the Lusitania, by the author of ""The Devil in the White City.""",2015-03-29,1,33
DEAL,Bill Kreutzmann with Benjy Eisen,An account of three wild decades of drumming for the Grateful Dead.,2015-05-24,10,1
DEAR GIRLS,Ali Wong,The comedian dispenses her brand of wisdom through letters to her children.,2019-11-03,8,1
